marca,modelo,ano,quilometragem,preco,combustivel,car_documents,tipo,transmissão,year_range,km's driven_range
Daihatsu,Hijet,2011,73000.0,1335000,Gasolina,Original,Importado,Automatic,3,3
Honda,Civic Oriel,2010,110000.0,2350000,Gasolina,Original,Nacional,Automatic,3,4
Honda,City IVTEC,2012,67000.0,2975000,Gasolina,Original,Nacional,Automatic,3,3
Honda,City IDSI,2004,150000.0,1350000,Gasolina,Original,Nacional,Manual,1,5
Honda,City IVTEC,2017,92000.0,3350000,Gasolina,Original,Nacional,Manual,5,4
Suzuki,Ravi,2011,94563.0,720000,Gasolina,Original,Importado,Manual,3,4
Honda,City IDSI,2002,100000.0,980000,Gasolina,Original,Nacional,Manual,1,4
Mercedes,C Class,2004,95000.0,3000000,Gasolina,Original,Importado,Automatic,1,4
Suzuki,Swift,2013,121000.0,1600000,Gasolina,Original,Nacional,Manual,4,5
Toyota,Yaris,2021,42000.0,4000000,Gasolina,Original,Nacional,Manual,6,2
FAW,X-PV,2017,70000.0,850000,Gasolina,Original,Nacional,Manual,5,3
Daihatsu,Move,2014,99000.0,2095000,Gasolina,Original,Importado,Automatic,4,4
Toyota,Corolla GLI,2018,123456.0,3750000,Gasolina,Original,Nacional,Manual,5,5
Daihatsu,Cuore,2006,120000.0,900000,Gasolina,Original,Nacional,Manual,2,4
Toyota,Corolla GLI,2013,200000.0,2650000,Gasolina,Original,Importado,Manual,4,7
Toyota,Corolla XLI,2007,150000.0,1800000,Gasolina,Original,Nacional,Manual,2,5
Toyota,Corolla GLI,2004,100000.0,1430000,Gasolina,Original,Importado,Manual,1,4
Honda,City Aspire,2017,67000.0,3450000,Gasolina,Original,Nacional,Automatic,5,3
Daihatsu,Mira,2016,82000.0,2800000,Gasolina,Original,Importado,Automatic,4,3
Suzuki,Mehran VXR,2014,10000.0,900000,Gasolina,Original,Importado,Manual,4,1
Suzuki,Alto,2005,150000.0,700000,GNV,Original,Nacional,Manual,2,5
Suzuki,Wagon R,2018,49000.0,2240000,Gasolina,Original,Nacional,Manual,5,2
Honda,City Aspire,2017,62000.0,3650000,Gasolina,Original,Nacional,Manual,5,3
Honda,City Vario,2005,154000.0,1670000,Gasolina,Original,Nacional,Automatic,2,6
Suzuki,Mehran VXR,2014,56000.0,930000,Gasolina,Original,Nacional,Manual,4,2
Honda,Civic Oriel,2004,20000.0,1550000,Gasolina,Original,Nacional,Automatic,1,1
Honda,City Aspire,2016,75000.0,3650000,Gasolina,Original,Nacional,Automatic,4,3
Suzuki,Swift,2022,10000.0,4280000,Gasolina,Original,Nacional,Automatic,6,1
Suzuki,Cultus VXR,2012,82500.0,1235000,Gasolina,Original,Nacional,Manual,3,3
Daihatsu,Cuore,2010,100000.0,900000,Gasolina,Original,Importado,Manual,3,4
Honda,Civic Oriel,2010,95000.0,2700000,Gasolina,Original,Nacional,Automatic,3,4
