marca,modelo,ano,quilometragem,preco,combustivel,car_documents,tipo,transmissão,year_range,km's driven_range,faixa_preco,faixa_preco_prevista,valor_estimado
Toyota,Corolla GLI,2018,55000.0,430000,Gasolina,Original,Nacional,Manual,5,2,Luxo,Luxo,681403.3241134752
Hyundai,Santro,2004,10000.0,790000,Gasolina,Original,Importado,Manual,1,1,Luxo,Luxo,681403.3241134752
Suzuki,Alto,2008,88000.0,980000,Gasolina,Original,Importado,Manual,2,3,Luxo,Luxo,681403.3241134752
Honda,Civic Prosmetic,2012,137306.0,247000,Gasolina,Original,Importado,Automatic,3,5,Intermediário,Intermediário,245657.07356430945
Daihatsu,Cuore,2010,80000.0,890000,Gasolina,Original,Importado,Automatic,3,3,Luxo,Luxo,681403.3241134752
Daihatsu,Cuore,2011,135000.0,980000,Gasolina,Original,Nacional,Manual,3,5,Luxo,Luxo,681403.3241134752
Daihatsu,Hijet,2015,91000.0,158000,Gasolina,Original,Importado,Automatic,4,4,Econômico,Econômico,149497.18328086744
Toyota,Passo,2011,100000.0,165000,Gasolina,Original,Importado,Automatic,3,4,Econômico,Intermediário,245657.07356430945
Hyundai,Santro,2007,12345.0,860000,GNV,Original,Nacional,Manual,2,1,Luxo,Luxo,681403.3241134752
Honda,City Aspire,2017,60000.0,365000,Gasolina,Original,Nacional,Manual,5,2,Premium,Premium,350855.0221465077
Honda,City IVTEC,2014,155000.0,269000,Gasolina,Original,Nacional,Manual,4,6,Intermediário,Intermediário,245657.07356430945
FAW,V2,2016,129480.0,132500,Gasolina,Original,Importado,Manual,4,5,Econômico,Econômico,149497.18328086744
Toyota,Yaris,2022,14000.0,459500,Gasolina,Original,Nacional,Automatic,6,1,Luxo,Luxo,681403.3241134752
Suzuki,Mehran VXR,2006,40000.0,600000,Gasolina,Original,Nacional,Manual,2,2,Luxo,Luxo,681403.3241134752
Toyota,Corrolla Altis,2018,82000.0,465000,Gasolina,Original,Nacional,Automatic,5,3,Luxo,Luxo,681403.3241134752
Toyota,Corolla XLI,2006,182000.0,165000,Gasolina,Original,Nacional,Manual,2,7,Econômico,Econômico,149497.18328086744
Daihatsu,Mira,2014,102000.0,250000,Gasolina,Original,Importado,Automatic,4,4,Intermediário,Intermediário,245657.07356430945
Honda,Civic Prosmetic,2007,125000.0,197000,Gasolina,Original,Nacional,Automatic,2,5,Econômico,Econômico,149497.18328086744
Suzuki,Every,2018,95000.0,155000,Gasolina,Original,Importado,Manual,5,4,Econômico,Econômico,149497.18328086744
Mitsubishi,Lancer,2005,100000.0,115000,Gasolina,Original,Nacional,Automatic,2,4,Econômico,Econômico,149497.18328086744
Suzuki,Mehran VXR,2008,123456.0,760000,Gasolina,Original,Nacional,Manual,2,5,Luxo,Luxo,681403.3241134752
Daihatsu,Mira,2013,123000.0,199500,Gasolina,Original,Importado,Automatic,4,5,Econômico,Econômico,149497.18328086744
Suzuki,Every,2013,132000.0,174500,Gasolina,Original,Importado,Automatic,4,5,Econômico,Econômico,149497.18328086744
